samplingPoint.notation,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER
SW-91259001,303090,4,1,2
SW-81271210,15/47/52/P/11,4,1,1
SW-70511377,SWWA 180,4,1,1
SW-72815078,203577,5,1,1
SW-70641813,NRA-SW-7351,4,1,1
SW-E1000089,070379,3,1,1
SW-50340340,040086,3,1,1
SW-50340440,401341,2,1,2
SW-50034510,400435,3,1,1
SW-70540177,DRA 1350,3,1,1
SW-72912168,DRA 1512,3,1,1
SW-70630278,SWWA 1137,3,1,1
SW-73050121,DRA 159,5,1,1
SW-Z1011401,010037,5,1,1
SW-50361181,402465,3,1,1
SW-FPF00023,402465,3,1,2
SW-Z1520113,101441,3,2,1
SW-50240179,040044,5,1,1
SW-Z1010702,102362,4,1,1
SW-72931092,200411,3,1,1
SW-70723485,SWWA 2251,2,1,1
SW-82712763,15/49/30/P/10,4,1,1
SW-70531035,DRA 308,3,1,1
SW-70826068,DRA 1062,3,1,1
SW-81010892,15/47/1/P/9,3,2,1
SW-81916653,15/48/231/P/19,3,2,1
SW-70422295,SWWA 2064,4,1,1
SW-70540233,DRA 1355,3,1,1
SW-50231729,040024,2,1,1
SW-B0011101,010077,3,1,1
SW-82315120,303394,4,1,1
SW-82710008,NPSWQD009661,1,01,1
SW-E2240019,101640,3,1,1
SW-A2270406,011557,4,1,1
SW-60031911,070087,4,1,1
SW-50700369,042618,4,1,1
SW-50370334,401495,4,1,3
SW-70630192,NRA-SW-6984,4,1,1
SW-70920826,203603,2,1,1
SW-81250105,303087,4,1,1
SW-70630153,203388,2,1,01
SW-70111020,202394,4,1,1
SW-70581040,203027,2,1,1
SW-50330862,EPRAP3428GZ,1,1,1
SW-82113588,15/48/24/P/4,4,1,1
SW-81311021,302956,4,1,1
SW-81515954,303233,6,1,1
SW-E2040019,070053,3,1,1
SW-50951312,041577,3,1,1
SW-82517313,303399,3,1,1
SW-70551820,203806,2,1,1
SW-91210333,303667,2,1,1
SW-50311172,040059,3,2,1
SW-B3140102,010063,3,1,1
SW-61200420,103453,2,1,1
SW-81910120,302642,6,1,1
SW-50580004,NPSWQD008555,1,1,1
SW-60220020,NPSWQD008933,1,1,1
SW-73012567,200356/FN/01,4,1,1
SW-50210352,401500,3,1,1
SW-50341921,401758,3,1,1
SW-H1210290,303347,4,1,1
SW-91252047,303086,3,1,1
SW-72911631,DRA 459,6,1,1
SW-50540184,401025,2,1,2
SW-Z9420104,101668,2,1,1
SW-A3200206,010092,3,1,1
SW-60030047,101432,5,1,2
SW-50830236,041658,2,1,1
SW-E8900030,100334/FU/01,6,1,1
SW-50700150,050808,2,1,1
