EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,SPT_DESC,EFF_SAMPLE_POINT,EFF_TMEN_CODE,TMEN_DESC,DWF (m3_d),MAX_DAILY (m3_d),MEAN (m3_d),MAX_RATE (l_s),samplingPoint.notation
SW,EA South West Region,103860,1,1,1,TRADE DISCHARGES - PROCESS EFFLUENT - NOT WATER COMPANY,63310184,30,REEDBED,,200.0,,,SW-63310184
SW,EA South West Region,010299,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A3190312,01,BIOLOGICAL FILTRATION,55.0,,,,SW-A3190312
SW,EA South West Region,070055,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E4320029,03,TERTIARY BIOLOGICAL,360.0,,,,SW-E4320029
SW,EA South West Region,010049,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A3220201,01,BIOLOGICAL FILTRATION,60.0,,,,SW-A3220201
SW,EA South West Region,010053,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A2300101,01,BIOLOGICAL FILTRATION,85.0,,,,SW-A2300101
SW,EA South West Region,010156,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z5550126,01,BIOLOGICAL FILTRATION,75.0,225.0,,,SW-Z5550126
SW,EA South West Region,010063,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,B3140102,01,BIOLOGICAL FILTRATION,410.0,,,,SW-B3140102
SW,EA South West Region,070085,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E3120029,03,TERTIARY BIOLOGICAL,71.0,,,,SW-E3120029
SW,EA South West Region,NPSWQD000605,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,82211950,29,PACKAGE TREATMENT PLANT,,7.5,,,SW-82211950
SW,EA South West Region,NPSWQD000677,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,60031297,29,PACKAGE TREATMENT PLANT,,15.9,,,SW-60031297
SW,EA South West Region,070128,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E1230039,01,BIOLOGICAL FILTRATION,330.0,,,,SW-E1230039
SW,EA South West Region,400454,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,50350002,01,BIOLOGICAL FILTRATION,,17.0,,,SW-50350002
SW,EA South West Region,102511,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E3170019,10,LAGOON SETTLEMENT,1747.0,,,,SW-E3170019
SW,EA South West Region,203099,1,1,1,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,70620445,11,SCREENING,,,,,SW-70620445
SW,EA South West Region,202846,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70501359,01,BIOLOGICAL FILTRATION,313.0,,,,SW-70501359
SW,EA South West Region,202846,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70501359,01,BIOLOGICAL FILTRATION,313.0,,,,SW-70501359
SW,EA South West Region,032993/FU/01,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,H2014875,22,UV DISINFECTION,948.0,,,,SW-H2014875
