samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-5055GW07,MOUNT PLEASANT FARM BOREHOLE CERNE ABBAS,365781.8467925377,101029.39381590969,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50550310,RIVER CERNE AT CHARMINSTER,367956.9564572786,92663.92912065367,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570155,WADDOCK CROSS WATERCRESS B2,379608.8475112525,90848.17353178118,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570152,WADDOCK CROSS WATERCRESS A1,379531.40912671736,90904.0794981549,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570150,WADDOCK CROSS WATERCRESS SETTLEMENT LAGOON,379728.603199306,90780.98317634368,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570001,WOODSFORD QUARRY,375198.8936465517,89888.74698494043,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5056GW05,CAME DOWN GOLF CLUB BOREHOLE,369067.2441152855,87096.97564382412,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5056GW07,CHURCH FARM BOREHOLE,364369.7985620711,89295.46609558904,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50569999,MISCELLANEOUS SOUTH WINTERBOURNE CATCHMENT,365998.3983672559,89951.81762206391,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570386,TINCLETON EAST WATERCRESS BEDS 2,376732.148205892,91683.15963491597,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5057GW01,"HURST FARM, MORETON BOREHOLE",379188.8935572495,89993.57505841387,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50580170,WARMWELL WATERCRESS FARM A (PREVIOUSLY SETTLEMENT OUTLET 043241),375151.2762514693,87309.05691502235,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5058GW01,WARMWELL WATERCRESS BEDS-PREVIOUS MONITORING ON SITE C3414000,374664.52488714864,87455.96628907742,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50580185,BROADMAYNE STW  DORCHESTER,373452.55251735775,86683.57919514336,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570388,TINCLETON WEST WATERCRESS BEDS 2,376619.2098794063,91683.6663291771,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570392,TINCLETON WEST WATERCRESS BEDS 1,376647.4944109739,91694.65956440028,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50579999,MISC MIDDLE FROME CATCHMENT SOUTH WINTERBOURNE TO TADNOLL BROOK,376997.3757371624,91003.63791735897,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50570251,RIVER FROME U/S DORCHESTER STW LOUDS MILL,370505.99031205854,90391.40096357957,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50900712,CORFE RIVER D/S CORFE STW,396710.3389627164,84136.98563205902,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50590229,WOOL STW FE,382237.3409752289,87369.00580510378,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,389053.0613985198,86649.58618067819,,0.0,,,,,,,,,,,,,,,,,,,,,,
