,EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,CODE_1,VAL_1,CODE_2,VAL_2,CODE_3,VAL_3,DETE_CODE,UNITS,DETE,METHOD
121,SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,2.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,COMPARATIVE
122,SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,0.3,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,COMPARATIVE
123,SW,EA South West Region,401521,2,1,1,1,12,95 PERCENTILE,30.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
124,SW,EA South West Region,401050,5,1,1,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
125,SW,EA South West Region,401050,5,1,1,1,12,MAXIMUM VALUE,7000.0,,,,,6051,MICROGRAM PER LITRE,Iron,ABSOLUTE
126,SW,EA South West Region,040111,4,1,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
127,SW,EA South West Region,042116,4,1,1,1,12,95 PERCENTILE,25.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
128,SW,EA South West Region,042116,4,1,3,1,12,MAXIMUM VALUE,100.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
129,SW,EA South West Region,043232,2,1,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
130,SW,EA South West Region,043232,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
131,SW,EA South West Region,401056,2,4,4,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
132,SW,EA South West Region,401056,2,2,2,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
133,SW,EA South West Region,400114/CF/01,2,3,3,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
134,SW,EA South West Region,042451,8,1a,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
135,SW,EA South West Region,042451,8,1b,1,1,12,MAXIMUM VALUE,27.0,95 PERCENTILE,7.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
136,SW,EA South West Region,042451,8,1b,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
137,SW,EA South West Region,042451,8,2b,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
138,SW,EA South West Region,042453,6,1,1,1,12,95 PERCENTILE,12.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
139,SW,EA South West Region,042453,6,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
140,SW,EA South West Region,040067,5,1,1,1,12,95 PERCENTILE,4000.0,MAXIMUM VALUE,8000.0,,,6051,MICROGRAM PER LITRE,Iron,ABSOLUTE
141,SW,EA South West Region,041353,6,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
142,SW,EA South West Region,402100,4,1,1,1,12,95 PERCENTILE,35.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
143,SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,2.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,COMPARATIVE
144,SW,EA South West Region,040109,2,1,1,1,12,95 PERCENTILE,35.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
145,SW,EA South West Region,401050,5,1,1,1,12,95 PERCENTILE,5.0,MAXIMUM VALUE,20.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
146,SW,EA South West Region,401050,5,1,1,1,12,MEAN VALUE,1.0,,,,,348,MILLIGRAM PER LITRE,"Phosphorus, Total as P",ABSOLUTE
147,SW,EA South West Region,401059,2,2,2,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
148,SW,EA South West Region,042116,4,1,2,1,12,95 PERCENTILE,35.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
149,SW,EA South West Region,042116,4,1,3,1,12,MAXIMUM VALUE,100.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
150,SW,EA South West Region,043233,2,1,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
151,SW,EA South West Region,043235,2,1,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
152,SW,EA South West Region,043235,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
153,SW,EA South West Region,043235,2,2,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
154,SW,EA South West Region,401059,2,2,2,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
155,SW,EA South West Region,401056,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
156,SW,EA South West Region,401056,2,2,2,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
