PERMIT_REF,VERSION,DETE_CODE,row_count
011342,3,135,2
011342,4,85,2
011342,4,135,2
011342,5,85,2
011342,5,135,2
011342,6,85,2
011342,6,135,2
011342,7,85,2
011342,7,135,2
011342,7,3647,2
011342,8,85,2
011342,8,135,2
011342,8,3647,2
011342,9,85,2
011342,9,135,2
011342,9,3647,2
011343,1,85,2
011343,1,135,2
011345,1,85,2
011345,1,135,2
011346,1,85,2
011346,1,135,2
011348,1,85,2
011348,1,135,2
011348,2,85,2
011348,2,135,2
011348,3,85,2
011348,3,135,2
011348,4,85,2
011348,4,135,2
011348,5,85,2
011348,5,135,2
011348,6,85,2
011348,6,135,2
011351,1,4883,3
011351,2,85,2
011351,2,111,2
011351,2,135,2
011351,2,664,2
011351,2,6425,2
011391,1,85,2
011391,1,111,2
011391,1,135,2
011400,1,85,2
011400,1,111,2
011400,1,135,2
011411,1,85,2
011411,1,135,2
011416,1,85,3
011416,1,135,3
011422,1,85,2
011422,1,111,2
011422,1,135,2
011422,1,4883,2
011422,1,6425,2
011463,1,61,2
011463,1,135,2
011485,4,7444,2
011506,1,6425,2
011511,1,85,2
011511,1,135,2
011515,1,85,2
011515,1,111,2
011515,1,135,2
011515,1,6425,2
011521,1,85,2
011521,1,135,2
011532,1,85,2
011532,1,135,2
011540,1,7444,2
011557,1,85,2
011557,1,135,2
011557,2,85,2
011557,2,135,2
011557,3,85,2
011557,3,135,2
011557,4,85,2
011557,4,135,2
011557,5,85,2
011557,5,135,2
011557,6,85,2
011557,6,135,2
011557,7,85,2
011557,7,135,2
011557,7,3647,2
011557,8,85,2
011557,8,135,2
011557,8,3647,2
011558,1,85,2
011558,1,135,2
011558,2,85,2
011558,2,135,2
011558,3,85,2
011558,3,135,2
011558,4,85,2
011558,4,135,2
011558,5,85,2
011558,5,135,2
011559,1,85,2
011559,1,135,2
011559,2,85,2
011559,2,135,2
011559,3,85,2
011559,3,135,2
011560,1,85,2
011560,1,135,2
011560,8,3647,2
011560,9,3647,2
011562,1,85,2
011562,1,135,2
011563,1,85,2
011563,1,135,2
011563,2,85,2
011563,2,135,2
011563,3,85,2
011563,3,135,2
011563,4,85,2
011563,4,135,2
011563,5,85,2
011563,5,135,2
011563,6,85,2
011563,6,135,2
011564,1,85,2
011564,1,135,2
011590,1,85,2
011590,1,135,2
011592,1,85,2
011592,1,111,2
011592,1,135,2
011592,1,6425,2
011593,1,85,3
011593,1,111,2
011593,1,135,3
011600,1,85,2
011600,1,135,2
011601,1,85,2
011601,1,135,2
011602,1,85,2
011602,1,135,2
011621,1,85,2
011621,1,111,2
011621,1,135,2
011621,1,6425,2
011649,1,6425,2
011649,2,85,2
011649,2,111,2
011649,2,135,2
011649,2,664,2
011649,2,6425,2
011673,2,7444,2
011679,1,666,2
011679,1,3413,2
011722,1,3527,2
011723,2,135,2
011723,2,664,2
011723,2,3527,2
011723,2,6425,2
011776,1,61,2
011776,1,76,2
011776,1,85,3
011776,1,111,2
011776,1,135,2
011777,1,85,2
011777,1,135,2
011777,2,85,2
011777,2,135,2
011782,1,85,2
011782,1,111,2
011782,1,135,2
011782,1,6425,2
011783,1,85,2
011783,1,135,2
011787,1,85,2
011787,1,111,2
011787,1,135,2
011833,4,7444,2
011833,5,7444,2
011843,1,61,2
011843,1,135,2
011843,1,6425,2
011866,1,85,2
011866,1,135,2
011875,1,85,2
011875,1,111,2
011875,1,135,2
011875,1,4883,2
011904,2,7444,2
011918,1,85,2
011918,1,111,2
011918,1,135,2
011918,1,6425,2
011961,1,85,2
011961,1,111,2
011961,1,135,2
011961,2,85,2
011961,2,111,2
011961,2,135,2
011961,2,6425,2
011970,1,85,2
011970,1,111,2
011970,1,135,2
011970,1,6425,2
011970,2,85,2
011970,2,111,2
011970,2,135,2
011970,2,664,2
011970,2,6425,2
011987,1,85,2
011987,1,135,2
011987,2,85,2
011987,2,135,2
011987,3,85,2
011987,3,135,2
011987,4,85,2
011987,4,135,2
011987,7,3647,2
012015,1,85,2
012015,1,111,2
012015,1,135,2
012086,1,6425,2
012128,1,85,2
012128,1,111,2
012128,1,135,2
012128,1,6425,2
012129,1,85,2
012129,1,135,2
012129,2,85,2
